Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"0602577915123, 7791512",The Beatles,Abbey Road,"Apple Records, Universal Music Group International, Apple Records","LP, Album, RE, RM, Rem",,2019,14186441,Uncategorized,2026-06-26 17:30:02,,,
"0602577915123, 7791512",The Beatles,Abbey Road,"Apple Records, Universal Music Group International, Apple Records","LP, Album, RE, RM, Rem",,2019,14186441,Uncategorized,2026-07-04 22:08:13,,,
8122-79657-7,Led Zeppelin,Untitled,Atlantic,"LP, Album, RE, RM, Gat",,2021,25197124,Uncategorized,2026-07-04 21:21:59,,,
"8122796573, 8122-79657-3",Led Zeppelin,Houses Of The Holy,"Atlantic, Atlantic","LP, Album, RE, RM, 180",,2014,6224441,Uncategorized,2026-06-14 12:28:11,,,
"8122796576, R1 535341",Led Zeppelin,Led Zeppelin III,"Atlantic, Atlantic","LP, Album, RE, RM, 180",,2014,5734538,Uncategorized,2026-06-14 09:40:43,,,
"8122796640, R1 535225",Led Zeppelin,Led Zeppelin II,"Atlantic, Atlantic","LP, Album, RE, RM, 180",,2020,19502752,Uncategorized,2026-07-04 21:10:35,,,
RKIDLP73,Oasis (2),(What's The Story) Morning Glory?,Big Brother,"2xLP, Album, Amb, RE, RM, tri",,2022,32219661,Uncategorized,2026-07-07 18:41:44,,,
19075958951,Willie Nelson,Red Headed Stranger,Columbia,"LP, Album, RE",,2019,14029797,Uncategorized,2026-06-12 08:34:33,,,
88985462631,Arcade Fire,The Suburbs,Columbia,"2xLP, Album, RE",,2017,11346765,Uncategorized,2026-07-04 21:50:36,,,
"19075950661, PC 33235",Bob Dylan,Blood On The Tracks,"Columbia, Columbia","LP, Album, RE",,2019,13808380,Uncategorized,2026-06-14 08:51:39,,,
"88985455281, CS 8786",Bob Dylan,The Freewheelin' Bob Dylan,"Columbia, Columbia","LP, Album, RE, Mem",,2017,28702942,Uncategorized,2026-07-03 08:43:29,,,
"CS 9128, 19439890281",Bob Dylan,Bringing It All Back Home,"Columbia, Columbia","LP, Album, RE",,2022,22825475,Uncategorized,2026-07-05 20:00:24,,,
"CS 9189, 19439890371",Bob Dylan,Highway 61 Revisited,"Columbia, Columbia","LP, Album, RE",,2022,22814468,Uncategorized,2026-07-05 20:03:03,,,
"JC 35305, 35305",Willie Nelson,Stardust,"Columbia, Columbia","LP, Album",,1978,11078235,Uncategorized,2026-06-21 20:45:26,,,
"19439890381S1, C2S 841, 19439890381",Bob Dylan,Blonde On Blonde,"Columbia, Columbia, Columbia","2xLP, Album, RE",,2022,22814654,Uncategorized,2026-07-05 20:05:25,,,
CCR-4,Creedence Clearwater Revival,"At The Royal Albert Hall (April 14, 1970)","Craft Recordings, Fantasy","LP, Album, Ltd, Tra",,2022,24526181,Uncategorized,2026-06-29 16:11:40,,,
JACK 101,Oasis (2),That Sound Ringing,Dear Boss.,"LP, Album, Card, Ltd, Unofficial, bla",,2025,35845513,Uncategorized,2026-07-18 15:51:01,,,
CR00831,Creedence Clearwater Revival,Willy And The Poor Boys,Fantasy,"LP, Album, RE, Yel",,2025,33139851,Uncategorized,2026-06-12 08:33:50,,,
0720642472712,Nirvana,MTV Unplugged In New York,Geffen Records,"LP, Album, RE, RP, No ",,0,26125709,Uncategorized,2026-06-14 08:56:11,,,
602475330165,Tom Petty And The Heartbreakers,Greatest Hits,"Geffen Records, UMe","2xLP, Comp, Ltd, RE, RM, Red",,2024,32532858,Uncategorized,2026-07-06 17:06:25,,,
B0025152-01,Weezer,Weezer,"Geffen Records, UMe","LP, Album, Ltd, RE, Blu",,2020,29973601,Uncategorized,2026-06-14 12:41:40,,,
"R1 727668, 603497813780, RI 727668",The Grateful Dead,Gratest Hits,"Grateful Dead Productions, Grateful Dead Productions, Rhino Records (2), Rhino Records (2)","LP, Comp, Gre",,2025,34378186,Uncategorized,2026-06-16 20:21:54,,,
B0023337-01,Tame Impala,Currents,Interscope Records,"2xLP, Album",,2023,26698010,Uncategorized,2026-07-04 21:47:29,,,
5303052,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,"Island Records, Tuff Gong","LP, Comp, RE, 180",,2024,30781416,Uncategorized,2026-06-16 20:17:42,,,
"KCS 9825, 19802974641",Bob Dylan,Nashville Skyline,"Legacy, Columbia, Legacy, Columbia","LP, Album, RE",,2025,35801743,Uncategorized,2026-07-05 19:45:16,,,
88843059851,The Jimi Hendrix Experience,Are You Experienced,"Legacy, Experience Hendrix","LP, Album, RE, RP",,2014,16447011,Uncategorized,2026-06-14 08:33:40,,,
LS-2-7001,The Beatles,"Live! At The Star-Club In Hamburg, Germany; 1962.","Lingasong, Double H Licensing Corp.","2xLP, Album",,1977,1266973,Uncategorized,2026-06-14 08:58:16,,,
88875143731,Michael Jackson,Thriller,"MJJ Productions, Epic, Legacy, Sony Music","LP, Album, RE, RP, Gat",,2018,28527184,Uncategorized,2026-07-04 22:01:45,,,
MOVLP777,MGMT,Congratulations,Music On Vinyl,"2xLP, Album, RE, 180",,2014,5799410,Uncategorized,2026-07-03 08:36:22,,,
"PCS 7016, PCS. 7016",The Beatles,A Collection Of Beatles Oldies,"Parlophone, Parlophone","LP, Comp, RE",,0,2201915,Uncategorized,2026-06-12 18:05:23,,,
"PMC 1240, 74 6438 1",The Beatles,Beatles For Sale,"Parlophone, Parlophone","LP, Album, Mono, RE, RM, Gat",,1987,34767662,Uncategorized,2026-07-05 19:32:47,,,
PRC-334,Alvvays,Antisocialites,Polyvinyl Record Company,"LP, Album, RE, Cle",,2021,17693929,Uncategorized,2026-06-22 18:08:45,,,
82876 73177-1,The Strokes,First Impressions Of Earth,RCA,"LP, Album",,2006,608680,Uncategorized,2026-06-14 09:32:50,,,
19658801691,The Strokes,Is This It,"RCA, Legacy, Sony Music","LP, Album, Ltd, RE, Red",,2024,29446156,Uncategorized,2026-06-14 07:41:10,,,
"19439-70588-1, 19439-70588-1SLV1, CL1",The Strokes,The New Abnormal,"RCA, RCA, Cult Records (3)","LP, Album",,2020,15249054,Uncategorized,2026-06-12 10:20:48,,,
